Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore,Runtime_unit,Gross_unit
A Pedra Mágica,(2009),"Comedy, Family, Fantasy",89,4.7,20.92,6.506,53.0,min,M
[REC]² Possuídos,(2009),"Horror, Mystery, Thriller",85,6.5,0.03,65.672,52.0,min,M
Coco Antes de Chanel,(2009),"Biography, Drama",105,6.7,6.11,37.405,65.0,min,M
The Firm,(2009),Drama,90,5.8,,5.409,,min,
Soul Kitchen,(2009),"Comedy, Drama",99,7.3,0.27,34.583,76.0,min,M
Efeito Borboleta 3,(2009),"Crime, Sci-Fi, Thriller",90,5.6,,18.030,,min,
Dev.D,(2009),"Comedy, Drama, Romance",144,8.0,0.01,26.935,,min,M
Doghouse,(2009),"Comedy, Horror, Sci-Fi",89,6.0,,20.507,,min,
Fire from Below,(2009),Thriller,89,2.7,,853,,min,
Os Cavaleiros do Apocalipse,(2009),"Crime, Drama, Mystery",90,5.6,,21.034,,min,
Confusões em Família,(2009),"Comedy, Drama",104,7.4,6.67,29.837,66.0,min,M
Primavera Maluca,(2009),"Comedy, Romance",84,4.8,,4.323,,min,
Um Crime Nada Perfeito,(2009),"Comedy, Crime",90,6.1,,14.986,,min,
Guerras de Verão,(2009),"Animation, Action, Comedy",114,7.5,0.08,24.002,63.0,min,M
High School Band,(2009),"Comedy, Drama, Family",111,6.3,5.21,13.337,66.0,min,M
B13-U 13º Distrito - Ultimato,(2009),"Action, Crime, Thriller",101,6.5,0.04,41.800,64.0,min,M
Como Desenhar um Círculo Perfeito,(2009),Drama,122,5.5,,676,,min,
Ink,(I) (2009),"Action, Drama, Fantasy",107,6.9,,20.597,,min,
Um Por Todas e Todas Por Um,(2009),"Comedy, Sport",104,6.6,,5.750,53.0,min,
