Title,Year,Genre,Runtime,Rating,Gross,Votes,Metascore
Trapped Alive,(1988),"
Drama, Horror, Thriller            ",92 min,4.2,,221,
Mensageiro da Morte,(1988),"
Action, Crime, Mystery            ",91 min,5.6,$3.07M,"2,315",
The Sisterhood,(1988),"
Action, Adventure, Sci-Fi            ",75 min,3.5,,353,
O Resgate,(1988),"
Action, Adventure, Drama            ",97 min,5.6,$5.86M,"1,064",
Missing Link,(1988),"
Adventure            ",91 min,6.1,,326,
Choque Mortal,(1988),"
Horror, Sci-Fi            ",95 min,5.5,$0.04M,"2,038",
Gritos de Revolta,(1988),"
Action, Crime, Drama            ",108 min,5.7,$0.19M,"1,230",
O Preço da Paixão,(1988),"
Drama, Romance            ",104 min,5.8,$4.76M,"1,438",
Les mémés cannibales,(1988),"
Comedy, Horror            ",89 min,4.9,,"1,541",
Taffin - O Defensor Implacável,(1988),"
Action, Thriller            ",96 min,5.6,$0.16M,"1,379",
Emmanuelle - Paraíso Selvagem,(1988),"
Drama            ",80 min,3.1,,649,
Jornada ao Centro da Terra,(1988),"
Adventure            ",100 min,2.5,,969,
Vozes Distantes,(1988),"
Drama, Music            ",84 min,7.5,$0.69M,"3,343",85        
Remando al viento,(1988),"
Drama, Horror, Mystery            ",126 min,5.9,,882,
Ghosts... of the Civil Dead,(1988),"
Crime, Drama            ",93 min,6.9,,"1,657",
Jakarta,(1988),"
Action, Drama, Mystery            ",94 min,4.7,,119,
Um Inglês na América,(1988),"
Comedy            ",94 min,4.8,$0.11M,779,
Troma's War,(1988),"
Action, Adventure, Comedy            ",91 min,5.7,,"1,594",
As Viagens de Tommy Tricker,(1988),"
Adventure, Family, Fantasy            ",105 min,6.9,,930,
Apartamento Zero,(1988),"
Drama, Thriller            ",124 min,7.0,$0.67M,"3,555",
Pass the Ammo,(1988),"
Comedy            ",93 min,6.2,$0.17M,467,
Chocolat,(1988),"
Drama            ",105 min,7.3,$2.32M,"2,559",
A Lenda do Santo Beberrão,(1988),"
Drama            ",128 min,7.2,,"1,417",
O Trovador Kerib,(1988),"
Drama            ",73 min,7.4,,"1,508",
The Blue Iguana,(1988),"
Action, Comedy, Mystery            ",90 min,5.1,$0.16M,458,
Twice Dead,(1988),"
Thriller, Horror            ",87 min,5.4,,512,
Chutando o Pau da Barraca,(1988),"
Comedy            ",86 min,5.2,$1.15M,689,
Pecado Mortal,(1988),"
Horror            ",102 min,5.0,$6.34M,"1,425",
Deu a Louca nas Federais,(1988),"
Comedy, Crime            ",82 min,5.5,$3.84M,"2,801",
Track 29,(1988),"
Drama, Mystery            ",91 min,5.9,$0.43M,"1,842",
A Arte do Amor,(1988),"
Comedy, Drama, Romance            ",126 min,6.6,$2.01M,"1,616",
Shiryô no wana,(1988),"
Horror            ",102 min,6.2,,"2,073",
